Círculo	Nome	Escola (Descritor)	Descrição Visual	Efeito	Aprimoramento (Exemplos)	Prompt base
1º	Armadura Arcana	Abjuração	Uma força invisível, mas tangível, envolve o alvo como uma couraça translúcida.	Garante +4 na Defesa do alvo.	+2 PM: Bônus aumenta para +6.+2 PM: Execução vira Reação.	Cria a imagem de Tormenta 20 para a Magia 'Armadura Arcana' que é do tipo 'Abjuração', do 1º círculo, com o efeito 'Uma força invisível, mas tangível, envolve o alvo como uma couraça translúcida.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Escudo da Fé	Abjuração (Luz)	Um símbolo sagrado ou escudo espiritual flutua à frente do alvo, bloqueando golpes.	O alvo recebe +2 de Defesa.	+2 PM: Bônus aumenta em +1.+5 PM: Duração vira um dia.	Cria a imagem de Tormenta 20 para a Magia 'Escudo da Fé' que é do tipo 'Abjuração (Luz)', do 1º círculo, com o efeito 'Um símbolo sagrado ou escudo espiritual flutua à frente do alvo, bloqueando golpes.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Resistência	Abjuração	Uma aura sutil fortalece a fibra física e mental do alvo contra efeitos externos.	O alvo recebe +1 em todos os testes de resistência.	+2 PM: Bônus aumenta em +1.+2 PM: Afeta alvos escolhidos.	Cria a imagem de Tormenta 20 para a Magia 'Resistência' que é do tipo 'Abjuração', do 1º círculo, com o efeito 'Uma aura sutil fortalece a fibra física e mental do alvo contra efeitos externos.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Santuário	Abjuração	O alvo é envolto por uma aura de paz que hesita o braço de quem tenta atacá-lo.	Inimigos devem passar em Vontade para conseguir atacar o alvo.	+2 PM: Aumenta o número de alvos.+5 PM: Duração vira um dia.	Cria a imagem de Tormenta 20 para a Magia 'Santuário' que é do tipo 'Abjuração', do 1º círculo, com o efeito 'O alvo é envolto por uma aura de paz que hesita o braço de quem tenta atacá-lo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Aviso	Adivinhação	O conjurador sente um formigamento na nuca e seus sentidos se aguçam.	Você não pode ser surpreendido; +5 em Iniciativa e Percepção.	+2 PM: Bônus aumenta em +2.+2 PM: Afeta aliados escolhidos.	Cria a imagem de Tormenta 20 para a Magia 'Aviso' que é do tipo 'Adivinhação', do 1º círculo, com o efeito 'O conjurador sente um formigamento na nuca e seus sentidos se aguçam.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Compreensão	Adivinhação	Seus olhos brilham levemente enquanto símbolos estranhos se tornam claros em sua mente.	Você entende qualquer idioma falado ou escrito.	+2 PM: Entende linguagens de animais.+2 PM: Entende linguagens de plantas.	Cria a imagem de Tormenta 20 para a Magia 'Compreensão' que é do tipo 'Adivinhação', do 1º círculo, com o efeito 'Seus olhos brilham levemente enquanto símbolos estranhos se tornam claros em sua mente.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Concentração de Combate	Adivinhação	O tempo parece desacelerar enquanto você antecipa o movimento exato do oponente.	Você rola dois dados em testes de ataque e usa o melhor.	+2 PM: Duração vira a cena.+5 PM: Execução vira Ação Livre.	Cria a imagem de Tormenta 20 para a Magia 'Concentração de Combate' que é do tipo 'Adivinhação', do 1º círculo, com o efeito 'O tempo parece desacelerar enquanto você antecipa o movimento exato do oponente.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Detectar Magia	Adivinhação	Seus olhos percebem o fluxo de mana, revelando auras coloridas em objetos e seres.	Percebe auras mágicas em alcance curto.	+0 PM (Truque): Detecta apenas se um objeto tocado é mágico.	Cria a imagem de Tormenta 20 para a Magia 'Detectar Magia' que é do tipo 'Adivinhação', do 1º círculo, com o efeito 'Seus olhos percebem o fluxo de mana, revelando auras coloridas em objetos e seres.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Orientação	Adivinhação	Um sussurro místico ou um lampejo de intuição guia as mãos do alvo.	O alvo recebe +1 em um teste de perícia à escolha.	+0 PM (Truque): Bônus para uma perícia específica.	Cria a imagem de Tormenta 20 para a Magia 'Orientação' que é do tipo 'Adivinhação', do 1º círculo, com o efeito 'Um sussurro místico ou um lampejo de intuição guia as mãos do alvo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
1º	Visão Mística	Adivinhação	Suas pupilas se dilatam e você enxerga o mundo através da energia pura.	Enxerga auras mágicas, vendo através de disfarces e ilusões.	+2 PM: Ganha visão no escuro.+2 PM: Vê através de escuridão mágica.	Cria a imagem de Tormenta 20 para a Magia 'Visão Mística' que é do tipo 'Adivinhação', do 1º círculo, com o efeito 'Suas pupilas se dilatam e você enxerga o mundo através da energia pura.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
