Nível	Magia	Escola de Magia	Descrição Visual/Efeito	Prompt Base
0	Acudir os Moribundos	Necromancia	Magia que estabiliza criaturas à beira da morte.	Cria a imagem de D&D para a Magia 'Acudir os Moribundos' que é do tipo 'Necromancia', do nível 0, com o efeito 'Magia que estabiliza criaturas à beira da morte.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Amigos	Encantamento	Influencia a mente de uma criatura para torná-la amigável.	Cria a imagem de D&D para a Magia 'Amigos' que é do tipo 'Encantamento', do nível 0, com o efeito 'Influencia a mente de uma criatura para torná-la amigável.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Arte Druídica	Transmutação	Manifestações da natureza, como flores desabrochando ou previsão do tempo.	Cria a imagem de D&D para a Magia 'Arte Druídica' que é do tipo 'Transmutação', do nível 0, com o efeito 'Manifestações da natureza, como flores desabrochando ou previsão do tempo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Badalar Fúnebre	Necromancia	O som de um sino fúnebre que causa dano a criaturas feridas.	Cria a imagem de D&D para a Magia 'Badalar Fúnebre' que é do tipo 'Necromancia', do nível 0, com o efeito 'O som de um sino fúnebre que causa dano a criaturas feridas.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Bolha Ácida	Evocação/Conjuração	Uma bolha de ácido corrosivo lançada contra um alvo.	Cria a imagem de D&D para a Magia 'Bolha Ácida' que é do tipo 'Evocação/Conjuração', do nível 0, com o efeito 'Uma bolha de ácido corrosivo lançada contra um alvo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Chama Sagrada	Evocação	Radiação divina que desce sobre o inimigo.	Cria a imagem de D&D para a Magia 'Chama Sagrada' que é do tipo 'Evocação', do nível 0, com o efeito 'Radiação divina que desce sobre o inimigo.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Criar Chamas	Evocação	Uma chama que aparece na mão do conjurador, servindo como luz ou arma.	Cria a imagem de D&D para a Magia 'Criar Chamas' que é do tipo 'Evocação', do nível 0, com o efeito 'Uma chama que aparece na mão do conjurador, servindo como luz ou arma.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Elementalismo	Transmutação	Controle direto sobre os elementos, criando efeitos de terra, ar, fogo ou água.	Cria a imagem de D&D para a Magia 'Elementalismo' que é do tipo 'Transmutação', do nível 0, com o efeito 'Controle direto sobre os elementos, criando efeitos de terra, ar, fogo ou água.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Explosão Elemental	Evocação	Uma liberação súbita de energia elemental.	Cria a imagem de D&D para a Magia 'Explosão Elemental' que é do tipo 'Evocação', do nível 0, com o efeito 'Uma liberação súbita de energia elemental.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Fagulha Estelar	Evocação	Um brilho celestial ou faísca estelar.	Cria a imagem de D&D para a Magia 'Fagulha Estelar' que é do tipo 'Evocação', do nível 0, com o efeito 'Um brilho celestial ou faísca estelar.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Golpe Certeiro	Adivinhação	Um breve vislumbre do futuro que garante precisão no próximo ataque.	Cria a imagem de D&D para a Magia 'Golpe Certeiro' que é do tipo 'Adivinhação', do nível 0, com o efeito 'Um breve vislumbre do futuro que garante precisão no próximo ataque.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Ilusão Menor	Ilusão	Cria sons ou imagens estáticas simples, como um objeto pequeno.	Cria a imagem de D&D para a Magia 'Ilusão Menor' que é do tipo 'Ilusão', do nível 0, com o efeito 'Cria sons ou imagens estáticas simples, como um objeto pequeno.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
0	Luz	Evocação	Faz um objeto brilhar com luz plena.	Cria a imagem de D&D para a Magia 'Luz' que é do tipo 'Evocação', do nível 0, com o efeito 'Faz um objeto brilhar com luz plena.'. Será utilizada como imagem de fundo para ilustrar uma carta de magia. Sem textos. --ar 4:5
